instance_name,num_jobs,num_machines,makespan_spt,optimality_gap_spt,optimum,upper_bound,lower_bound,makespan_mwkr,optimality_gap_mwkr,makespan_mor,optimality_gap_mor,makespan_random,optimality_gap_random,makespan_fifo,optimality_gap_fifo
ta51,50,15,3856,1.3971014492753624,2760.0,2760,2760,3435,1.2445652173913044,3567,1.2923913043478261,3715,1.3460144927536233,3567,1.2923913043478261
ta52,50,15,3266,1.1850507982583454,2756.0,2756,2756,3394,1.2314949201741654,3303,1.1984760522496372,3576,1.297532656023222,3303,1.1984760522496372
ta53,50,15,3507,1.2907618697092382,2717.0,2717,2717,3098,1.1402281928597717,3115,1.146485093853515,3291,1.2112624217887376,3115,1.146485093853515
ta54,50,15,3142,1.1067277210285311,2839.0,2839,2839,3272,1.152518492426911,3265,1.1500528355054596,3552,1.2511447692849595,3265,1.1500528355054596
ta55,50,15,3225,1.2038073908174691,2679.0,2679,2679,3188,1.1899962672639044,3279,1.2239641657334825,3466,1.2937663307204181,3279,1.2239641657334825
ta56,50,15,3530,1.2693275800071917,2781.0,2781,2781,3134,1.1269327580007191,3100,1.1147069399496583,3289,1.1826681049982022,3100,1.1147069399496583
ta57,50,15,3725,1.2657152565409446,2943.0,2943,2943,3261,1.1080530071355759,3335,1.1331974176010873,4089,1.3893985728848115,3335,1.1331974176010873
ta58,50,15,3365,1.166377816291161,2885.0,2885,2885,3365,1.166377816291161,3420,1.1854419410745234,3457,1.198266897746967,3420,1.1854419410745234
ta59,50,15,3294,1.240677966101695,2655.0,2655,2655,3131,1.1792843691148776,3117,1.1740112994350282,3495,1.3163841807909604,3117,1.1740112994350282
ta60,50,15,3500,1.2853470437017995,2723.0,2723,2723,3122,1.1465295629820051,3044,1.1178846860080793,3186,1.1700330517811237,3044,1.1178846860080793
ta61,50,20,3606,1.2573221757322175,2868.0,2868,2868,3343,1.1656206415620642,3376,1.1771269177126917,3895,1.3580892608089261,3376,1.1771269177126917
ta62,50,20,3639,1.2683861972812827,2869.0,2869,2869,3462,1.2066922272568839,3417,1.1910073196235622,3856,1.3440223074241897,3417,1.1910073196235622
ta63,50,20,3521,1.2780399274047187,2755.0,2755,2755,3233,1.173502722323049,3276,1.1891107078039926,3555,1.2903811252268602,3276,1.1891107078039926
ta64,50,20,3447,1.275721687638786,2702.0,2702,2702,3188,1.1798667653589934,3057,1.1313841598815693,3533,1.3075499629903775,3057,1.1313841598815693
ta65,50,20,3332,1.2227522935779815,2725.0,2725,2725,3429,1.2583486238532111,3249,1.1922935779816515,3451,1.266422018348624,3249,1.1922935779816515
ta66,50,20,3677,1.2924428822495606,2845.0,2845,2845,3287,1.1553602811950792,3335,1.1722319859402461,3329,1.1701230228471002,3335,1.1722319859402461
ta67,50,20,3487,1.2343362831858407,2825.0,2825,2825,3351,1.1861946902654867,3392,1.20070796460177,3770,1.334513274336283,3392,1.20070796460177
ta68,50,20,3336,1.1982758620689655,2784.0,2784,2784,3203,1.1505028735632183,3251,1.1677442528735633,3721,1.336566091954023,3251,1.1677442528735633
ta69,50,20,3862,1.257570823835884,3071.0,3071,3071,3550,1.1559752523607945,3526,1.1481602084011722,3726,1.2132855747313578,3526,1.1481602084011722
ta70,50,20,3801,1.2691151919866444,2995.0,2995,2995,3482,1.1626043405676127,3590,1.1986644407345577,3774,1.2601001669449081,3590,1.1986644407345577
ta71,100,20,6232,1.1405563689604685,5464.0,5464,5464,6036,1.1046852122986823,5938,1.0867496339677891,6598,1.2075402635431918,5938,1.0867496339677891
ta72,100,20,5973,1.1528662420382165,5181.0,5181,5181,5583,1.0775911986103068,5639,1.0883999227948273,5973,1.1528662420382165,5639,1.0883999227948273
ta73,100,20,6482,1.1641522988505748,5568.0,5568,5568,6050,1.086566091954023,6128,1.1005747126436782,6303,1.1320043103448276,6128,1.1005747126436782
ta74,100,20,6062,1.1354186177186738,5339.0,5339,5339,5678,1.0634950365236935,5642,1.056752200786664,6237,1.1681962914403445,5642,1.056752200786664
ta75,100,20,6217,1.1530044510385757,5392.0,5392,5392,6029,1.1181379821958457,6212,1.1520771513353116,6683,1.2394287833827893,6212,1.1520771513353116
ta76,100,20,6370,1.1924372894047173,5342.0,5342,5342,5887,1.1020217147135905,5936,1.1111943092474728,6195,1.15967802321228,5936,1.1111943092474728
ta77,100,20,6045,1.1120309050772628,5436.0,5436,5436,5905,1.0862766740250185,5829,1.0722958057395144,6272,1.1537895511405445,5829,1.0722958057395144
ta78,100,20,6143,1.138857990359659,5394.0,5394,5394,5700,1.0567296996662958,5886,1.0912124582869855,6090,1.1290322580645162,5886,1.0912124582869855
ta79,100,20,6018,1.1231802911534154,5358.0,5358,5358,5749,1.0729749906681598,5652,1.0548712206047033,6076,1.1340052258305338,5652,1.0548712206047033
ta80,100,20,5848,1.1283040710013506,5183.0,5183,5183,5505,1.0621261817480223,5707,1.1010997491800116,6297,1.2149334362338413,5707,1.1010997491800116
